lesson,status
Payments and POS,not completed
Accessibility for Ontarians,completed
How May I Help You?,completed
Restaurant Security,completed
Tim Hortons Foundation Camps,completed
Tell Tims,completed
Hot Beverages - Speciality Tea,completed
Cold Beverages 1 - Frozen Beverages,completed
Tim Hortons Coffee - Brewing Best Practices,completed
Tim Hortons Coffee - Serving Best Practices,completed
Hot Beverages - Steeped Tea,completed
Hot Beverages - French Vanilla and Hot Chocolate,completed
The Tims Way for Team Members,completed
"Cold Beverages 2 - Iced Coffee, Cold Brew and Iced Chai Latte",not completed
Cold Beverages 3 - Quenchers and Ready to Drink Beverages,in progress
